"Time (UTC)","Google (Search)","Telescope (# Unique Source IPs)","BGP (#Visible /24s)","Active Probing (#/24s Up)","Mozilla (City Count)"
"2026-02-01 11:00:00",83.85362054866664,22.817448637193145,99.25177395845014,95.90159574468085,80.48780487804879
"2026-02-01 12:00:00",80.60178483882078,21.74015423559192,99.27139562076532,95.8098404255319,78.04878048780488
"2026-02-01 13:00:00",74.01333726452764,23.18832048036734,99.24176290624851,96.22473404255318,80.48780487804879
"2026-02-01 14:00:00",73.58755610043445,21.54000117737093,99.23715782223574,96.42686170212765,78.04878048780488
"2026-02-01 15:00:00",74.71674128246553,22.417142520751163,99.26378722109209,96.33244680851062,80.48780487804879
"2026-02-01 16:00:00",76.34941986067267,19.632660269617944,99.28501065175955,96.44015957446808,78.04878048780488
"2026-02-01 17:00:00",77.0029795454419,18.714310943662802,99.30903717704346,96.68351063829786,70.73170731707317
"2026-02-01 18:00:00",81.39097198196134,18.449402484252666,99.29602280918134,96.64760638297871,70.73170731707317
"2026-02-01 19:00:00",82.50863322726767,17.937246129393063,99.2625858948279,96.31914893617021,65.85365853658537
"2026-02-01 20:00:00",76.00443429441638,16.830517454524045,99.20151847639795,95.60372340425532,58.536585365853654
"2026-02-01 21:00:00",61.54110431574551,17.224936716312474,98.79647130431998,95.3125,51.21951219512195
"2026-02-01 22:00:00",42.86420337219415,16.85995172779184,99.16668001473629,95.13829787234042,24.390243902439025
"2026-02-01 23:00:00",27.323573369340938,18.32577853652793,99.29201838830069,94.94680851063829,14.634146341463413
"2026-02-02 00:00:00",17.487310140069898,16.577382704421026,99.29201838830069,94.8470744680851,14.634146341463413
"2026-02-02 01:00:00",12.791546060076433,17.36622122799788,99.2527750636703,94.58244680851064,17.073170731707318
"2026-02-02 02:00:00",13.214625143570663,18.16094660622829,99.29422081978504,94.18351063829788,19.51219512195122
"2026-02-02 03:00:00",22.0272210157212,19.461941484664745,99.29762457753361,94.38563829787233,39.02439024390244
"2026-02-02 04:00:00",36.37474363628413,35.34467533996585,99.30783585077927,94.83377659574468,85.36585365853658
"2026-02-02 05:00:00",52.65289895413632,40.14246188261612,99.32745751309446,95.13829787234042,90.2439024390244
"2026-02-02 06:00:00",61.831712416003924,38.658974509919354,99.34507696496934,95.47207446808511,100
"2026-02-02 07:00:00",69.95434166548617,36.25713781126744,99.33606701798787,95.55851063829786,87.8048780487805
"2026-02-02 08:00:00",72.17958227905142,36.957673515040916,99.33606701798787,95.49468085106382,85.36585365853658
"2026-02-02 09:00:00",70.65404620640147,34.54994996173544,99.34988227002613,95.93484042553192,85.36585365853658
"2026-02-02 10:00:00",78.35157392902148,29.016306587390357,99.28481043071552,96.12367021276596,78.04878048780488
"2026-02-02 11:00:00",79.65302520057332,25.24871960911285,99.36169531162405,96.26994680851064,80.48780487804879
"2026-02-02 12:00:00",73.83780778514067,23.406134102549007,99.28420976758342,96.17420212765957,80.48780487804879
"2026-02-02 13:00:00",66.34165008098421,23.6769294166127,99.31444314523235,96.36436170212765,80.48780487804879
"2026-02-02 14:00:00",64.40606357850503,23.0234885500677,99.33947077573642,96.5531914893617,80.48780487804879
"2026-02-02 15:00:00",67.1973864918557,22.534879613822334,99.33967099678046,96.44813829787233,75.60975609756098
"2026-02-02 16:00:00",70.298848790864,21.863778183316654,99.34227387035287,96.17154255319149,73.17073170731707
"2026-02-02 17:00:00",71.56346889418464,20.503914758344617,99.34407585974915,96.1156914893617,73.17073170731707
"2026-02-02 18:00:00",80.37979958279334,20.898334020133042,99.3332639233714,95.85771276595743,68.29268292682927
"2026-02-02 19:00:00",79.36016160519837,18.149172896921176,99.3264564078743,95.86037234042553,63.41463414634146
"2026-02-02 20:00:00",73.85974187491455,17.54282686760464,99.32425397638993,95.65558510638297,51.21951219512195
"2026-02-02 21:00:00",60.74124519906698,17.360334373344323,99.3300603866669,95.62898936170212,43.90243902439025
"2026-02-02 22:00:00",42.166801504172206,17.719432507211398,99.33206259710721,95.66489361702128,26.82926829268293
"2026-02-02 23:00:00",27.544825572358743,17.301465826808737,99.32725729205042,95.47606382978724,14.634146341463413
"2026-02-03 00:00:00",17.66939625842476,16.8658385824454,99.33206259710721,95.36835106382979,14.634146341463413
"2026-02-03 01:00:00",12.834272611356656,17.4486371931477,99.3344652496356,95.01728723404256,14.634146341463413
"2026-02-03 02:00:00",13.365917194903526,17.219049861658913,99.32004933446525,94.6622340425532,14.634146341463413
"2026-02-03 03:00:00",22.859717016061364,17.931359274739506,99.33486569172368,94.62367021276596,39.02439024390244
"2026-02-03 04:00:00",37.36053179465786,30.511567669394246,99.35548845925902,94.99202127659574,75.60975609756098
"2026-02-03 05:00:00",52.813473586548234,40.91363984223229,99.36630039563678,95.2313829787234,95.1219512195122
"2026-02-03 06:00:00",61.99760763887214,41.84624155313816,99.36329707997629,95.50132978723404,92.6829268292683
"2026-02-03 07:00:00",69.22061307564802,37.19314770118326,99.36970415338536,95.93218085106382,92.6829268292683
"2026-02-03 08:00:00",72.06718947376673,33.890622240536885,99.36630039563678,96.15292553191487,87.8048780487805
"2026-02-03 09:00:00",71.61619060966602,33.65514805439454,99.36730150085695,96.16090425531914,78.04878048780488
"2026-02-03 10:00:00",78.28472431305411,29.20468593630423,99.4081465938396,96.36303191489361,75.60975609756098
"2026-02-03 11:00:00",78.87943595460281,25.195737917230822,99.43797952940047,96.10239361702128,70.73170731707317
"2026-02-03 12:00:00",73.25733091260122,24.16974324903918,99.44138328714901,96.65691489361701,73.17073170731707
"2026-02-03 13:00:00",65.09309091015794,23.400247247895447,99.4265669298906,96.69547872340425,75.60975609756098
"2026-02-03 14:00:00",62.533576183494866,23.158886207099545,99.4363777610482,96.67154255319149,70.73170731707317
"2026-02-03 15:00:00",65.2790295722382,22.51721904986166,99.4277682561548,96.78856382978724,70.73170731707317
"2026-02-03 16:00:00",64.49448435267881,21.428150938953316,99.42977046659513,96.59840425531915,60.97560975609756
"2026-02-03 17:00:00",64.53055983550561,20.927768293400835,99.43217311912352,96.34574468085107,63.41463414634146
"2026-02-03 18:00:00",72.01305845042799,19.89956427297844,99.44919190786628,95.89627659574468,60.97560975609756
"2026-02-03 19:00:00",72.05245026758398,18.178607170188968,99.46260671781647,95.64627659574467,58.536585365853654
"2026-02-03 20:00:00",68.57391518365492,18.996879967033614,99.45880251797985,95.32712765957446,51.21951219512195
"2026-02-03 21:00:00",59.47231337039558,18.508271030788247,99.45980362320003,95.52393617021276,34.146341463414636
"2026-02-03 22:00:00",45.16905551843332,18.40819450167775,99.46260671781647,95.47606382978724,26.82926829268293
"2026-02-03 23:00:00",31.10011070200182,18.561252722670275,99.34027165991256,94.9348404255319,14.634146341463413
"2026-02-04 00:00:00",19.962712916083923,17.858122811761337,99.32265220803768,94.54787234042553,14.634146341463413
"2026-02-04 01:00:00",13.646375446998254,17.171955024430446,99.30723518764717,94.16489361702128,14.634146341463413
"2026-02-04 02:00:00",12.520724458044869,17.27203155354094,99.30403165094265,93.76728723404254,14.634146341463413
"2026-02-04 03:00:00",16.046625124250784,16.459645611349856,99.3142429241883,93.64361702127658,19.51219512195122
"2026-02-04 04:00:00",23.457546697412806,19.603225996350147,99.3300603866669,93.53989361702126,34.146341463414636
"2026-02-04 05:00:00",35.71792728944917,21.769588508859716,99.33846967051626,93.82579787234042,48.78048780487805
"2026-02-04 06:00:00",49.83134098190135,22.12659132157891,99.33766878634013,94.4627659574468,63.41463414634146
"2026-02-04 07:00:00",61.77642138308558,21.063165950432683,99.34167320722077,95.00797872340424,70.73170731707317
"2026-02-04 08:00:00",69.51906775972176,21.522340613410254,99.33646746007592,95.2912234042553,73.17073170731707
"2026-02-04 09:00:00",71.92345262225241,22.499558485900984,99.40093863625444,95.63164893617021,68.29268292682927
"2026-02-04 10:00:00",71.15242790663004,21.657738270442103,99.47542086463457,95.65558510638297,65.85365853658537
"2026-02-04 11:00:00",70.00524780822334,22.093365514805438,99.47782351716296,95.63297872340425,60.97560975609756
"2026-02-04 12:00:00",65.34107362566367,21.459134384498363,99.47582130672262,95.75132978723404,63.41463414634146
"2026-02-04 13:00:00",59.70138184516055,22.222876317183726,99.47542086463457,96.05186170212765,65.85365853658537
"2026-02-04 14:00:00",56.62470884791826,22.322952846294225,99.46500937034487,96.09973404255318,60.97560975609756
"2026-02-04 15:00:00",57.300969850479554,21.516453758756697,99.44218417132515,95.88031914893617,58.536585365853654
"2026-02-04 16:00:00",59.55178338822197,20.70406781656561,99.46821290704939,95.69946808510639,60.97560975609756
"2026-02-04 17:00:00",60.27975628004476,20.974863130629302,99.5038522528872,95.84175531914893,58.536585365853654
"2026-02-04 18:00:00",69.91581719858819,21.063165950432683,99.4970447373901,95.58909574468085,56.09756097560976
"2026-02-04 19:00:00",71.05915148106999,20.43915935715547,99.49684451634604,95.54122340425532,53.65853658536586
"2026-02-04 20:00:00",69.87902260815143,19.438394066050506,99.50745623167977,95.31382978723404,48.78048780487805
"2026-02-04 21:00:00",62.49258057144657,19.885795019720963,99.50505357915138,95.12765957446807,41.46341463414634
"2026-02-04 22:00:00",48.048882009656204,19.69152881615353,99.49624385321395,95.03856382978722,29.268292682926827
"2026-02-04 23:00:00",32.58139643200793,19.65032083357862,99.50625490541557,94.85106382978724,17.073170731707318
"2026-02-05 00:00:00",20.409288389980293,19.73273679872844,99.50745623167977,94.70478723404254,14.634146341463413
"2026-02-05 01:00:00",13.523109065197826,18.796726908812623,99.49664429530202,94.44015957446808,17.073170731707318
"2026-02-05 02:00:00",11.988020181229372,19.155825042679698,99.4830292643078,94.21409574468083,14.634146341463413
"2026-02-05 03:00:00",15.604745008197247,19.85636074645317,99.48503147474813,94.0877659574468,24.390243902439025
"2026-02-05 04:00:00",24.429212721986694,25.495967504562312,99.49003700084894,93.86835106382979,48.78048780487805
"2026-02-05 05:00:00",38.733633448388666,27.97433331371049,99.50425269497526,94.07047872340425,65.85365853658537
"2026-02-05 06:00:00",52.9126337508872,27.291458173897688,99.49243965337733,94.25132978723404,73.17073170731707
"2026-02-05 07:00:00",65.6820006462703,26.461411667745928,99.48222838013166,94.77260638297872,75.60975609756098
"2026-02-05 08:00:00",71.88122097093401,25.737328545358213,99.48162771699957,94.99601063829786,73.17073170731707
"2026-02-05 09:00:00",73.47733791803807,25.195737917230822,99.49083788502507,95.37632978723404,70.73170731707317
"2026-02-05 10:00:00",71.81914515452735,24.02425384117266,99.50124937931477,95.58244680851062,63.41463414634146
"2026-02-05 11:00:00",70.14778903347796,23.005827986107025,99.50425269497526,95.8656914893617,60.97560975609756
"2026-02-05 12:00:00",66.11695109084626,22.823335491846702,99.50645512645961,95.9255319148936,65.85365853658537
"2026-02-05 13:00:00",59.81148642199167,22.305292282333546,99.50965866316415,95.90558510638297,63.41463414634146
"2026-02-05 14:00:00",56.984320985147896,21.139695060928947,99.5112604315164,96,65.85365853658537
"2026-02-05 15:00:00",58.903977488480855,21.457585212221108,99.51085998942834,95.9534574468085,63.41463414634146
"2026-02-05 16:00:00",58.22279153264329,19.69152881615353,99.51166087360446,95.88563829787233,58.536585365853654
"2026-02-05 17:00:00",59.02425732755721,18.873256019308883,99.5014496003588,95.52260638297871,58.536585365853654
"2026-02-05 18:00:00",66.79543871812746,18.155059751574733,99.50265092662299,95.37101063829786,56.09756097560976
"2026-02-05 19:00:00",70.19015065703013,18.455289338906223,99.50345181079912,94.97606382978722,53.65853658536586
"2026-02-05 20:00:00",69.37079199945062,19.04986165891564,99.50004805305058,94.48005319148936,43.90243902439025
"2026-02-05 21:00:00",61.86585969087708,18.89680343792312,99.51025932629625,94.58244680851064,41.46341463414634
"2026-02-05 22:00:00",49.228544954665914,18.649555542473657,99.50425269497526,94.65691489361701,26.82926829268293
"2026-02-05 23:00:00",34.40445150693946,18.21392829811032,99.5002482740946,94.1875,19.51219512195122
"2026-02-06 00:00:00",22.14531755415558,19.17348560664037,99.49063766398103,94.43749999999999,14.634146341463413
"2026-02-06 01:00:00",14.696348217575,18.92035085653735,99.48963655876088,94.2872340425532,14.634146341463413
"2026-02-06 02:00:00",12.10713385589764,18.590686995938068,99.49143854815718,94.02925531914893,14.634146341463413
"2026-02-06 03:00:00",14.43569243299182,19.00276682168717,99.48743412727652,93.71542553191489,14.634146341463413
"2026-02-06 04:00:00",20.400673589307964,19.67975510684641,99.4946420848617,93.72340425531914,34.146341463414636
"2026-02-06 05:00:00",30.90824786040779,20.43915935715547,99.45419743396711,93.19946808510637,39.02439024390244
"2026-02-06 06:00:00",44.19403947432032,20.845352328251014,99.48383014848395,94.03191489361701,58.536585365853654
"2026-02-06 07:00:00",56.86738155446708,20.598104432801556,99.51045954734028,94.5970744680851,58.536585365853654
"2026-02-06 08:00:00",65.99025707952242,20.639312415376462,99.51386330508883,95.25930851063829,58.536585365853654
"2026-02-06 09:00:00",69.791981310324,20.23311944428092,99.51106021047235,95.66223404255318,63.41463414634146
"2026-02-06 10:00:00",68.63079941148321,20.15659033378466,99.50505357915138,95.51595744680851,60.97560975609756
"2026-02-06 11:00:00",69.73562366226535,20.174250897745335,99.53208342009579,95.2473404255319,56.09756097560976
"2026-02-06 12:00:00",67.48848553672069,18.40819450167775,99.54830132466242,95.20478723404256,58.536585365853654
"2026-02-06 13:00:00",63.914509024728325,18.80261376346618,99.54429690378178,95.42287234042553,60.97560975609756
"2026-02-06 14:00:00",60.45512017975935,18.237475716724553,99.54049270394516,95.59175531914894,58.536585365853654
"2026-02-06 15:00:00",63.274018341944085,18.832048036733973,99.53869071454886,95.59175531914894,63.41463414634146
"2026-02-06 16:00:00",65.30007415991645,18.278683699299464,99.53248386218387,95.89494680851064,63.41463414634146
"2026-02-06 17:00:00",67.64288955620118,18.36698651910284,99.52867966234724,96.0625,65.85365853658537
